,Customer Name,cust mail id,Feedback,Date and time,caretaker/server name,care-empid,cust-age,cust-contact,sentiment - future,dept,customer-stay duration,customer-n visits past,customer-membership status,customer-amt to be paid,NPS,Dining - Vegetarian/vegan,Room preference,"Sports activities - [table tennis, golf, ...]","Wellness - gym, sauna, massage",pricing patterns - frugal/luxury
34,Eric Martinez,crystalbutler@example.org,"great location fantastic staff stayed argonaut nights beginning december 16.i arrived late midnight did n't notice valet parking pulled, luckily spot corner, valet met door let pleasant, desk clerk equally friendly way room 482 minute two.upon entry surprised small room, pretty cold, nicely decorated cozy, ipod-dockable clock radio softly playing classical music.because intouch member gift bottle water bar chocolate waiting nightstand, pair chocolates lay pillow, thought nice touch, turned heat room comfortable temperature time finished unpacking, bed extremely comfortable.the room clean, shower hot water pressure strong, bathroom amenities l'occitane.the lapse excellent service breakfast following morning, given vouchers continental breakfast check-in, hungry bit ordered eggs sausage, waiter brought eggs bacon instead, pointed mistake returned sausage disappeared, flag hostess order check, food excellent.with sole exception service bit good come expect kimpton brand.thanks busy work schedule did not spend time area hotel, saw driving neighborhood picturesque, great home-base exploring fisherman wharf area.a note budget-conscious parking rates outrageous 39/day plus tax tip valet parking, defense understanding parking san francisco uniformly insane.i definitely stay,  ",2024-03-31 05:49,Brandon Barnett,EMP276,70,(635)387-4314x954,Positive,HR,24,9,Active,$157,3,Vegan,Standard,Golf,Sauna,Luxury
35,Tamara Myers,rossjacob@example.net,"good flaw stayed hotel boyfriend 4 nights august, excellent location right near placa catalunya shops restaurants subway stops, room lovely- fine size considering n't long periods time, fact got free water juice mini bar big plus staying sweltering heat august, major flaw noise, stayed room middle hotel overlooking playground, not problem no kids school, major problem thinness walls, people room used toilet shower, felt like room, night people came late horrendous noise banging doors etc. kept, know problem hotels exceptionally worse hotel stayed, despite problem enjoyable stay, staff friendly helpful, emailed arrived requesting double twin room sorted, hotel clean nice size not big not small, did n't use swimming pool facilities busy sightseeing, definitely recommend maybe bring ear plugs light sleeper,  ",2024-11-12 19:41,Erika Smith MD,EMP794,48,846-334-3166,Positive,HR,16,0,Active,$212,1,Vegan,Suite,Swimming,Gym,Luxury
36,Emily Payne,kschwartz@example.org,"welcome oasis lanson place calm oasis appreciate given hong kong frenetic intensity.it location ideal causeway bay, somewhat unknown taxis suggest regal hotel 2 minute walk.checking simple fuss.the room clean comfortable offers free cabled wireless internet complications passwords/accounts.the staff genuinely friendly speak english.there great laundry 50m away keswick street open 8am 7 days week 24 hr turnaround maybe bargain hkd28 week worth washing.breakfast simple bit limited variety staying 5 days definitely edible nice complimentary decent newspapers financial times,  ",2024-09-23 19:49,Heather Young,EMP510,27,(358)377-4398x94607,Neutral,Support,21,5,Inactive,$112,4,Vegan,Deluxe,Table tennis,Massage,Frugal
37,Justin Schneider,jonathanbriggs@example.org,"ca n't beat value/location/amenities fine family-run hotel lot going great amenities fridge room flat-screen satellite tv internet access including free use common area central location minutes away duomo uffizi accademia gratious helpful staff recommend restaurants make reservations book museum tickets reasonable price, recommend hotel casci stay, grazie mille,  ",2024-12-22 14:42,Desiree Carter,EMP834,28,001-969-253-3810x585,Neutral,Support,23,2,Active,$255,8,Vegetarian,Suite,Golf,Massage,Frugal
38,Shelly Brown,derrick10@example.net,"great hotel great location stayed nights early july, arrived upgraded beautiful room 39th floor 50/night extra, great view city room quite spaceous tokyo standard, staff polite friendly, location hotel n't better, travel airport hotel smooth convenient, hotel staff loaded luggage bus left hotel narita hour, really pleasant stay, definitely,  ",2024-04-24 19:14,Dean Grimes,EMP985,31,(920)343-0179x54423,Negative,HR,9,0,Inactive,$216,6,Vegetarian,Suite,Table tennis,Sauna,Frugal
39,Edward Simmons,ryanmartin@example.org,"huge surprise, booked hotel traveling budget, actually booked room 125 night, really nervous pulling area little shady, surprise staying beautiful hotel, interior remodeled, modern hotel, flat screen tvs comfortable bed, delicious breakfast roof morning, mile major shops took bus fisherman wharf, think like 4 bucks round trip took 15 minutes, walked night time mall okay did not husband felt unsafe, not beat hotel, spectacular, shocked, booked night unsure ended staying g 3 nights, worth, recommend hotel, clean beautiful staff outstanding, helped reservations gave directions needed,  ",2024-05-26 10:27,Mary Klein,EMP272,69,001-854-355-7889x29988,Negative,HR,28,8,Active,$71,7,Vegan,Suite,Swimming,Sauna,Luxury
40,Abigail Armstrong,mitchell98@example.com,"pros cons decided discover san francisco low peak season holidays, sf beautifully decorated time, stayed 3 nights early dec. got great deal, pros price 60 king-sized bed amenities like fridge m/w free parking.- location interesting places like haas-lilenthal house spreckel mansion danielle steele house, blocks away union street lighted holidays, octagon house street corner, walk polk st interesting shops breakfast places, discerning muslim eaters halal deli nearby, not walgreens half block away.- common sense deposit deposit 25, thought hearing things.- public transportation easy walk bus cable car lines.- room clean room, nice fragrant smell checked, tv vcr, nice little breakfast table, really spacious room think recent furniture, level parking lot rooms face buildings, good n't face main road practically no noise night, noises came common coridor people pass adjoining room hear locked, hardly hear people upstairs, lots light.- bathroom good water pressure clean, good light.- good communication e-mailed ask inquire room response quick informative, requested floor room king size bed got king size bed rooms book specially reserved travel company used, gave options upgrade needed privacy, chose stay room got just like quite pleased vending machines drinks 1, cons bathroom really small brownish tiles not keen, bit tight good shower, thinking renovation suggest increase size bit change tile colors white, sink closet area area looks like belongs 70 including bathroom, closet rods bit rusted sink tiles brown bathroom, not space hang clothes luggage holder just used bag hold clothes.- towels bit rough guess standard size bath towel bit small me.- check-out time thought check time 12pm actually 11am, gave warning really nice extra hour, did n't charge extra minutes needed pack.all husband pretty happy castle inn, not featured travel books saw good read tripadvisor, fun sf,  ",2024-02-19 05:49,Paula Guzman,EMP106,50,985.645.0804,Positive,Support,19,0,Inactive,$69,4,Non-Vegetarian,Standard,Golf,Massage,Luxury
41,Elizabeth Kim,yherrera@example.net,"light light shaddow, reception horrably slow unefficient, rooms standart different quality, facilities not outstanding, long ways walk b. good breakfast, aircon room not strong got 26 degree c,  ",2024-12-24 09:06,Edward Walker,EMP783,37,001-374-803-5235x78705,Negative,Support,17,0,Inactive,$66,6,Vegan,Suite,Golf,Sauna,Luxury
42,Brooke Benson,janet02@example.org,"jury sure thing recently stayed jury inn boston enjoyed minute, friends raved thing n't far certainly solid choice, rooms nicely appointed comfy beds spacious bathrooms sep. shower bath practical work desk, highspeed internet free cuff bar downstairs cozy, really makes hotel people, staff pleasant way help unsure disabled room given checked minutes moved adjacent room guests interesting, jury uk chain lot british irish guests staying, entertaining.so n't exactly cutting edge terms concept execution really delivers warm friendly boston experience,  ",2024-10-24 12:57,Dennis Black,EMP521,39,458-630-3387x314,Negative,Finance,30,8,Active,$77,7,Vegan,Standard,Table tennis,Massage,Frugal
43,William Rodgers,rileyjustin@example.net,"glass half ok hate mail unreasonable 3 stars reason, weather amazing, just dr. ordered, aethetic perspective 4 4.5 star spot, resort beautiful, stunning, extremely nicely kept-up, flowers grounds impeccably groomed, beach manicured morning ocean gorgeous, pool huge wicked swim bar, food good great variety able tasty nights, mean options extravagant roasted boar chuchuro spicy local fish options simple pasta pizza coldcuts salads no complaints going hungry, rooms spacious clean new modern furntiture, visual perspective place rocks.but despite nice employees attitude staff members completely uncaring inhospitable, tipped 15 day total various employees really did n't think cared.but beach towels 8am, no biggie really annoying 4th day told laundry facility broken, no biggie n't hot water none 5 6 nights ah cares right, afterall sun nice cold shower feel pretty good right check people rude unhelpful flight delayed getting 1am noon day 6 nights room n't ready 17:00/5pm, watch things day, vacation make moved reading week spanish students causing havoc enjoyment guests, kids partied 6am everynight kept eveyone hollering, complaints came resort did nothing, n't told respect resort rules tossed, trust way iop, security smoke shop tried charge wife 6,500 dominican pesos pack smokes, realized apporox cad200 inisisted cancelling transaction complained desk concierge just asked room number looked, nothing hospitality room booked 2 days vacation n't booked according real piece work desk, issued key room actually guests, imagine 2 hours leave flight want shower open door room guests, confused, invited room chambermaid speak desk finally received key grungy room freshening place filthy, wife did n't want use shower thankfully brought towels home none.too buts overall place sooo potential, constructing new facilities place getting nicer, bad beauty spot n't remotely challenged attitudes key employees constanly challenged glass half full.we totally recommend punta cana overall ca n't recommend place, folks stayed barcello loved,  ",2024-11-06 03:23,Tommy Payne,EMP840,41,465.835.9495x4084,Neutral,HR,17,4,Active,$213,6,Vegan,Standard,Golf,Sauna,Frugal
